ph,turbidity,temperature,quality
8.086,2.037,28.38,Good
7.22,1.058,24.099,Good
9.278,17.797,33.009,Very Poor
8.109,3.762,28.419,Good
8.014,3.455,28.515,Good
8.086,3.899,28.715,Good
6.181,7.433,29.975,Poor
8.005,2.869,23.514,Good
8.19,8.171,25.028,Poor
8.143,2.214,27.309,Good
6.81,1.522,27.969,Good
8.213,2.756,18.53,Good
8.042,2.645,22.251,Good
8.136,3.244,21.504,Good
8.206,2.591,18.994,Good
8.171,1.862,18.707,Good
2.194,25.595,15.337,Unsafe
7.904,1.0,27.08,Good
8.003,3.775,27.785,Good
8.01,1.349,27.098,Good
8.17,4.984,20.837,Poor
7.968,3.955,27.882,Good
6.627,4.035,26.809,Poor
5.395,17.63,26.556,Very Poor
8.06,1.551,25.666,Good
8.055,7.278,21.04,Poor
7.899,3.414,29.595,Good
7.957,0.599,27.565,Good
8.003,4.909,21.894,Poor
8.2,2.7,17.177,Good
7.986,3.439,26.574,Good
7.966,7.144,27.641,Poor
7.411,2.133,27.83,Good
9.449,16.249,19.132,Very Poor
8.114,1.874,21.056,Good
8.07,2.74,22.838,Good
8.153,3.089,25.001,Good
8.058,1.577,22.069,Good
7.121,2.602,22.337,Good
8.154,2.693,19.651,Good
8.051,3.798,22.697,Good
3.635,34.317,11.977,Unsafe
8.137,2.637,24.637,Good
7.454,2.343,25.604,Good
7.963,3.553,31.539,Good
0.695,46.491,13.617,Unsafe
8.071,2.274,25.292,Good
8.133,6.872,28.993,Poor
8.101,6.669,22.028,Poor
8.043,3.278,29.769,Good
8.094,2.155,20.311,Good
8.068,1.731,21.39,Good
8.115,3.009,19.877,Good
6.101,5.993,22.085,Poor
6.84,0.362,21.173,Excellent
7.91,5.754,26.49,Poor
8.074,2.615,19.596,Good
8.04,2.366,28.169,Good
8.113,3.425,27.907,Good
6.95,0.61,22.472,Good
8.204,3.241,17.008,Good
8.1,4.011,24.027,Poor
8.06,2.062,25.848,Good
8.132,3.453,27.663,Good
12.491,27.519,18.468,Unsafe
6.899,0.342,21.988,Excellent
8.03,3.47,30.308,Good
8.209,7.218,20.339,Poor
8.17,2.733,17.394,Good
8.154,4.204,27.447,Poor
8.162,4.864,21.365,Poor
8.16,4.487,21.228,Poor
8.096,2.885,29.195,Good
7.169,1.954,24.341,Good
7.991,1.843,25.394,Good
8.034,2.415,21.704,Good
6.322,9.807,24.405,Poor
8.119,4.596,23.379,Poor
8.473,1.138,24.911,Good
8.088,3.065,20.774,Good
8.124,3.27,24.295,Good
8.144,5.279,21.21,Poor
8.062,2.628,22.363,Good
8.124,3.01,21.635,Good
7.931,3.77,30.538,Good
7.998,1.669,27.924,Good
7.98,2.859,29.309,Good
4.533,36.938,17.617,Unsafe
8.002,2.907,25.607,Good
8.181,0.675,20.567,Good
7.981,4.016,27.127,Poor
6.044,13.524,18.829,Very Poor
8.21,2.701,18.173,Good
7.929,4.162,28.378,Poor
7.338,0.441,22.1,Excellent
7.941,3.831,25.904,Good
8.066,4.814,28.107,Poor
6.505,1.562,21.85,Good
8.019,5.4,24.174,Poor
8.287,1.567,19.298,Good
8.093,3.296,27.792,Good
8.083,1.604,18.04,Good
7.933,0.869,27.465,Good
8.063,2.201,22.426,Good
8.043,2.367,23.903,Good
7.593,2.395,25.851,Good
7.804,3.543,21.553,Good
6.978,1.22,22.216,Good
7.694,8.805,24.497,Poor
8.127,7.566,29.74,Poor
8.029,1.381,23.971,Good
8.119,2.509,24.674,Good
6.746,2.584,19.958,Good
7.986,1.161,27.144,Good
8.056,1.914,22.065,Good
7.964,0.849,26.579,Good
8.198,5.062,20.048,Poor
8.103,2.787,26.184,Good
5.43,11.737,27.607,Very Poor
7.06,0.929,28.978,Good
8.194,3.598,19.845,Good
7.984,3.77,30.699,Good
7.962,3.321,28.162,Good
8.011,3.381,29.928,Good
8.087,4.379,28.716,Poor
8.342,1.501,19.637,Good
7.986,1.115,27.127,Good
8.085,2.777,23.482,Good
6.991,2.931,18.173,Good
7.959,3.937,27.727,Good
7.99,0.82,27.877,Good
7.977,3.603,29.074,Good
8.175,3.291,18.835,Good
8.104,2.09,25.158,Good
8.128,3.977,19.92,Good
8.397,4.143,31.038,Poor
7.913,2.949,26.619,Good
7.939,1.006,27.3,Good
8.065,4.36,22.453,Poor
8.172,4.359,20.248,Poor
8.144,2.824,25.462,Good
8.087,3.324,29.691,Good
8.099,2.219,26.189,Good
8.113,2.597,28.929,Good
8.113,2.208,26.824,Good
8.097,2.816,22.066,Good
8.176,4.267,20.485,Poor
8.491,3.897,24.946,Good
8.081,2.923,28.705,Good
8.172,2.253,19.421,Good
6.4,7.53,21.694,Poor
8.484,8.697,26.283,Poor
8.063,3.221,21.631,Good
7.802,3.164,22.452,Good
8.083,1.889,26.057,Good
8.898,15.517,21.123,Very Poor
8.274,1.593,20.972,Good
8.085,2.993,21.082,Good
8.182,5.128,18.841,Poor
7.979,0.709,27.584,Good
6.901,0.453,23.519,Excellent
8.038,1.134,20.967,Good
8.078,3.244,22.055,Good
8.149,2.736,25.049,Good
8.076,3.78,26.318,Good
8.094,2.904,29.504,Good
8.142,3.041,18.419,Good
8.076,7.91,29.57,Poor
8.176,2.562,18.16,Good
8.0,5.572,25.436,Poor
8.194,2.428,17.042,Good
6.927,0.295,21.293,Excellent
8.013,1.798,27.831,Good
8.096,2.704,26.138,Good
8.147,4.257,26.071,Poor
7.989,2.542,25.955,Good
8.162,3.113,26.101,Good
7.654,2.0,24.432,Good
7.997,3.635,22.779,Good
8.255,2.895,26.3,Good
8.037,1.377,21.988,Good
7.171,6.814,21.668,Poor
8.071,2.902,26.952,Good
8.149,2.342,18.372,Good
8.116,3.491,26.422,Good
7.921,3.181,27.076,Good
8.089,1.993,20.636,Good
8.117,9.125,21.085,Poor
6.9,0.188,22.433,Excellent
9.017,16.471,31.19,Very Poor
8.085,2.047,20.303,Good
3.731,45.857,16.535,Unsafe
8.117,2.877,21.268,Good
8.161,4.832,21.725,Poor
8.014,3.35,25.616,Good
8.075,3.582,30.297,Good
8.081,2.937,25.942,Good
7.983,2.866,26.19,Good
8.079,2.437,19.919,Good
8.136,1.582,21.021,Good
8.139,3.127,27.311,Good
7.299,8.762,24.777,Poor
8.122,1.024,23.585,Good
8.116,2.591,20.96,Good
3.058,25.475,15.601,Unsafe
7.91,1.132,27.801,Good
6.764,5.593,24.805,Poor
7.3,0.547,23.617,Excellent
12.231,56.064,11.11,Unsafe
7.982,1.361,27.716,Good
7.901,3.193,28.289,Good
8.156,3.404,21.506,Good
8.103,3.317,25.84,Good
0.693,58.922,30.503,Unsafe
7.995,3.717,28.471,Good
7.05,0.293,21.039,Excellent
8.062,4.044,22.354,Poor
8.238,3.697,17.142,Good
8.193,2.701,17.454,Good
8.114,2.397,21.315,Good
7.06,0.651,22.544,Excellent
6.922,0.127,22.002,Excellent
7.929,4.627,27.288,Poor
8.05,3.155,29.682,Good
8.051,2.555,25.307,Good
8.099,3.044,21.083,Good
7.948,2.001,24.027,Good
8.148,2.578,18.873,Good
7.918,3.781,31.871,Good
8.19,2.832,18.337,Good
8.851,5.985,19.019,Poor
8.036,1.863,22.698,Good
8.012,1.469,23.411,Good
8.091,3.332,26.051,Good
8.19,4.058,20.366,Poor
7.9,3.035,31.832,Good
7.697,12.818,18.643,Very Poor
8.119,2.594,26.769,Good
7.092,0.927,26.173,Good
7.182,2.446,27.183,Good
8.206,2.84,17.926,Good
8.504,13.597,30.677,Very Poor
7.957,3.029,27.835,Good
8.17,6.873,26.979,Poor
7.247,0.69,20.517,Excellent
7.902,5.048,26.373,Poor
8.141,3.839,25.413,Good
8.05,3.264,30.52,Good
9.704,19.721,33.366,Very Poor
8.303,1.662,19.133,Good
6.912,6.269,22.854,Poor
8.108,2.267,26.343,Good
7.363,6.891,21.803,Poor
8.048,2.038,21.998,Good
8.431,15.577,18.812,Very Poor
8.211,4.22,21.029,Poor
8.208,5.811,28.895,Poor
8.066,4.077,27.516,Poor
8.151,8.583,20.773,Poor
8.043,3.026,22.836,Good
8.128,1.448,20.91,Good
8.077,3.43,23.81,Good
8.093,6.095,29.099,Poor
8.086,2.193,21.012,Good
8.21,3.158,18.421,Good
7.933,0.673,23.72,Good
7.917,2.865,30.042,Good
7.169,7.227,19.419,Poor
3.855,51.672,34.747,Unsafe
7.029,1.054,27.874,Good
7.977,3.222,28.415,Good
8.133,3.949,20.732,Good
8.082,2.395,25.511,Good
3.943,54.422,29.953,Unsafe
8.112,4.647,20.107,Poor
8.19,8.021,19.191,Poor
6.72,1.828,20.388,Good
8.013,5.584,26.821,Poor
7.99,1.225,27.68,Good
7.929,3.408,27.632,Good
7.304,8.66,18.039,Poor
7.964,1.766,25.267,Good
7.942,1.077,27.511,Good
7.932,3.929,26.643,Good
8.19,2.924,18.557,Good
10.448,44.501,32.066,Unsafe
7.939,4.457,26.997,Poor
8.018,1.946,24.338,Good
7.956,3.612,27.086,Good
7.309,0.482,23.803,Excellent
7.309,0.862,22.663,Excellent
8.086,2.134,26.336,Good
8.132,2.893,25.714,Good
8.183,1.943,19.572,Good
8.1,3.939,24.695,Good
6.685,11.705,18.012,Very Poor
8.206,3.183,18.919,Good
6.961,0.309,22.33,Excellent
8.186,3.157,20.328,Good
8.179,2.525,17.203,Good
8.027,1.693,23.566,Good
8.195,3.669,26.587,Good
6.923,1.072,24.954,Good
7.455,10.309,28.462,Very Poor
8.011,1.496,26.843,Good
8.491,12.536,33.681,Very Poor
7.929,4.807,31.057,Poor
8.088,3.329,27.591,Good
8.216,2.504,18.949,Good
6.474,8.004,30.491,Poor
8.002,1.16,26.267,Good
8.091,7.982,22.574,Poor
8.594,6.354,28.831,Poor
8.233,3.298,18.064,Good
7.967,3.525,31.35,Good
8.126,2.869,25.351,Good
1.981,39.979,34.892,Unsafe
8.149,8.434,20.798,Poor
8.177,2.364,17.271,Good
8.107,1.79,21.902,Good
6.15,7.781,29.893,Poor
8.197,3.438,19.425,Good
8.062,2.837,21.435,Good
8.082,3.632,29.423,Good
7.071,0.119,20.636,Excellent
8.053,1.977,22.073,Good
6.99,0.182,20.555,Excellent
8.159,3.9,25.18,Good
8.059,3.509,24.776,Good
7.977,1.208,27.808,Good
8.055,2.973,20.225,Good
7.939,0.968,27.461,Good
8.039,8.971,30.618,Poor
8.112,5.055,28.652,Poor
7.95,0.815,27.192,Good
8.06,3.22,22.004,Good
6.923,0.166,22.603,Excellent
7.943,3.789,27.703,Good
8.073,3.564,27.701,Good
8.154,4.837,30.147,Poor
7.25,0.888,23.991,Excellent
8.153,9.033,19.865,Poor
8.178,2.445,17.961,Good
8.398,3.731,18.848,Good
8.14,3.763,30.17,Good
7.353,0.328,23.186,Excellent
8.097,2.576,20.873,Good
8.177,4.466,23.61,Poor
8.001,1.667,27.752,Good
9.157,14.59,25.677,Very Poor
8.148,2.775,17.654,Good
8.085,3.028,28.838,Good
8.147,3.154,19.991,Good
7.985,4.815,26.309,Poor
7.982,0.899,27.481,Good
7.987,3.327,27.781,Good
7.978,2.014,27.425,Good
8.158,3.726,19.112,Good
8.091,3.542,23.429,Good
7.997,4.024,30.544,Poor
7.749,2.617,18.601,Good
7.209,0.067,23.743,Excellent
8.111,2.907,24.399,Good
6.942,0.538,23.451,Excellent
7.992,1.071,27.521,Good
7.393,0.161,21.887,Excellent
7.386,0.301,22.768,Excellent
8.053,1.617,25.723,Good
8.091,3.375,26.222,Good
8.155,3.604,20.276,Good
8.192,2.842,17.239,Good
8.147,1.738,19.223,Good
8.076,2.118,28.42,Good
8.201,2.873,18.327,Good
8.069,4.047,25.151,Poor
7.981,3.598,27.658,Good
0.753,54.703,14.74,Unsafe
8.069,3.596,23.498,Good
8.084,2.811,23.883,Good
8.066,5.804,29.275,Poor
8.08,2.821,25.381,Good
8.013,0.861,27.464,Good
7.122,0.079,20.316,Excellent
8.096,3.1,21.428,Good
2.332,32.306,29.941,Unsafe
7.949,2.986,28.219,Good
7.993,2.683,27.667,Good
8.152,3.465,18.628,Good
7.919,3.487,26.561,Good
8.083,3.355,23.377,Good
6.927,7.064,20.082,Poor
7.966,3.66,27.467,Good
8.194,2.772,17.33,Good
8.211,2.512,19.214,Good
7.121,0.115,21.276,Excellent
12.453,43.505,16.645,Unsafe
7.99,4.669,26.665,Poor
8.105,2.489,25.175,Good
7.221,5.338,19.303,Poor
8.109,2.938,29.414,Good
7.996,1.262,27.499,Good
4.327,35.09,32.345,Unsafe
8.375,14.35,24.644,Very Poor
8.96,6.731,31.394,Poor
8.192,3.658,26.508,Good
8.161,3.84,21.16,Good
7.99,3.464,29.846,Good
7.606,7.108,26.984,Poor
8.167,4.699,23.569,Poor
7.158,0.602,21.294,Excellent
8.132,8.445,29.759,Poor
8.04,6.453,24.299,Poor
8.008,5.325,27.176,Poor
7.985,1.889,27.367,Good
8.182,3.329,18.289,Good
7.953,1.029,27.796,Good
8.051,4.363,24.415,Poor
8.215,4.34,18.974,Poor
8.083,2.89,24.051,Good
8.014,1.637,23.684,Good
8.163,3.452,20.46,Good
9.139,6.622,21.148,Poor
8.047,4.008,22.522,Poor
7.369,2.159,25.227,Good
7.947,2.022,27.977,Good
8.2,12.286,20.326,Very Poor
6.898,2.941,22.168,Good
8.128,3.262,28.937,Good
1.803,36.865,24.587,Unsafe
8.095,2.752,28.693,Good
7.915,7.347,26.687,Poor
7.959,3.594,27.91,Good
7.3,14.803,17.106,Very Poor
8.104,2.85,23.064,Good
8.198,2.898,18.126,Good
8.707,7.093,27.397,Poor
8.109,2.846,29.318,Good
8.129,3.392,24.515,Good
8.163,5.677,26.966,Poor
8.085,3.02,21.49,Good
8.011,5.566,24.91,Poor
8.254,5.571,24.566,Poor
7.958,4.054,26.422,Poor
8.058,3.956,24.393,Good
8.044,2.219,22.908,Good
7.983,0.575,27.24,Good
8.211,1.307,24.106,Good
8.492,10.69,21.305,Very Poor
7.32,0.587,21.313,Excellent
8.129,2.787,26.002,Good
7.943,0.908,27.824,Good
8.103,2.013,19.99,Good
8.218,9.78,31.993,Poor
7.995,1.554,26.63,Good
7.004,0.713,21.386,Excellent
12.226,23.925,30.205,Unsafe
8.01,1.629,26.03,Good
7.357,1.406,22.907,Good
7.96,1.455,27.094,Good
8.163,1.836,20.415,Good
8.049,3.073,22.344,Good
7.752,3.652,18.884,Good
8.007,3.223,26.916,Good
8.078,2.608,21.433,Good
8.084,2.21,27.274,Good
8.156,2.582,27.444,Good
8.108,3.75,26.652,Good
8.705,4.698,26.164,Poor
8.097,2.786,25.14,Good
8.059,2.496,22.021,Good
8.001,1.373,27.624,Good
7.328,0.788,23.285,Excellent
8.092,2.268,22.55,Good
7.935,3.537,31.966,Good
8.185,3.451,19.112,Good
6.832,0.743,22.562,Excellent
8.092,2.655,28.217,Good
7.958,3.39,28.053,Good
6.843,0.614,20.445,Excellent
8.091,2.938,22.567,Good
8.088,3.612,22.983,Good
8.223,3.532,25.941,Good
7.15,1.859,20.486,Good
8.131,3.165,27.23,Good
8.141,2.429,24.871,Good
7.59,3.456,20.446,Good
8.136,2.223,27.092,Good
8.044,2.693,25.252,Good
8.147,3.19,21.001,Good
8.555,10.271,17.194,Very Poor
0.691,27.216,30.759,Unsafe
8.095,2.603,26.37,Good
8.133,2.355,20.432,Good
8.03,2.237,21.746,Good
6.791,0.796,25.817,Good
8.141,2.543,27.109,Good
8.073,4.591,29.65,Poor
7.928,2.478,26.986,Good
8.163,5.661,20.398,Poor
7.946,3.841,27.878,Good
8.137,3.058,19.947,Good
8.096,3.27,26.22,Good
8.144,2.189,20.103,Good
8.954,13.199,32.246,Very Poor
7.95,2.117,27.113,Good
8.102,2.87,25.031,Good
8.063,4.916,25.906,Poor
7.945,3.31,26.99,Good
8.086,2.524,24.259,Good
4.123,47.15,30.708,Unsafe
8.166,3.335,17.061,Good
8.14,2.821,24.548,Good
7.93,4.131,26.335,Poor
8.007,5.532,23.43,Poor
7.998,5.253,26.963,Poor
8.078,1.339,21.3,Good
8.082,6.757,22.881,Poor
8.836,8.328,31.907,Poor
7.992,1.824,27.852,Good
8.022,1.937,26.009,Good
7.77,2.306,30.536,Good
8.071,3.09,19.648,Good
8.032,2.93,25.676,Good
8.188,2.526,17.218,Good
8.09,3.056,26.388,Good
8.187,2.708,18.728,Good
7.985,6.939,27.539,Poor
8.189,2.779,17.493,Good
7.916,1.107,27.667,Good
8.092,3.071,23.671,Good
8.122,3.68,26.051,Good
7.93,5.792,25.996,Poor
7.914,0.866,27.763,Good
8.232,4.209,18.578,Poor
5.56,17.955,29.791,Very Poor
8.121,3.151,23.244,Good
8.163,8.41,20.399,Poor
8.098,3.273,26.257,Good
8.097,1.909,26.422,Good
8.067,4.788,27.595,Poor
8.14,3.281,21.568,Good
7.999,1.392,27.347,Good
7.995,4.33,29.084,Poor
7.99,0.907,27.881,Good
8.174,3.53,29.14,Good
7.907,5.005,26.711,Poor
7.977,4.334,26.851,Poor
8.24,1.783,28.58,Good
8.178,2.481,27.609,Good
8.113,4.108,26.22,Poor
8.026,3.436,29.87,Good
7.055,0.659,20.659,Excellent
8.137,3.767,26.615,Good
8.002,2.999,23.23,Good
8.13,4.649,21.935,Poor
7.999,4.808,25.412,Poor
8.12,2.772,20.984,Good
8.065,3.01,23.405,Good
7.976,4.904,27.655,Poor
7.905,3.061,27.762,Good
7.995,0.778,27.634,Good
4.67,50.385,22.135,Unsafe
7.95,1.306,27.767,Good
7.998,2.049,22.953,Good
7.266,0.089,23.943,Excellent
8.094,2.15,28.301,Good
8.172,5.122,21.055,Poor
7.145,1.588,18.268,Good
1.914,36.981,11.965,Unsafe
7.273,3.17,25.136,Good
8.164,3.518,26.412,Good
8.099,3.82,26.268,Good
8.137,9.138,26.475,Poor
8.103,2.378,25.857,Good
7.523,18.457,21.879,Very Poor
7.964,1.79,19.89,Good
9.158,11.565,22.466,Very Poor
7.97,3.11,27.643,Good
7.932,3.323,27.381,Good
8.132,2.557,26.923,Good
7.934,3.14,28.451,Good
7.967,3.707,27.397,Good
6.518,2.73,19.274,Good
9.848,17.486,20.5,Very Poor
8.211,3.627,17.922,Good
8.012,1.293,27.909,Good
8.171,2.661,17.766,Good
8.841,4.612,29.293,Poor
8.135,3.018,26.177,Good
8.159,2.78,19.949,Good
8.166,3.082,26.842,Good
8.021,3.535,29.224,Good
8.051,2.438,22.704,Good
8.043,2.204,22.711,Good
8.079,1.867,25.011,Good
8.142,3.54,24.255,Good
8.026,3.286,28.068,Good
7.971,3.325,27.138,Good
8.073,3.059,29.265,Good
8.143,2.913,20.113,Good
8.107,5.646,29.447,Poor
6.85,14.008,23.213,Very Poor
8.074,2.71,25.579,Good
8.171,3.621,26.418,Good
8.176,2.378,18.689,Good
7.965,5.167,27.233,Poor
8.028,5.788,23.049,Poor
8.084,2.908,24.245,Good
8.723,7.728,30.119,Poor
8.175,8.139,21.321,Poor
7.287,1.745,19.966,Good
8.109,1.854,27.338,Good
7.887,2.827,31.64,Good
7.647,13.28,22.298,Very Poor
8.063,3.649,25.066,Good
1.361,49.986,31.217,Unsafe
7.926,4.069,25.625,Poor
8.028,3.629,22.294,Good
8.164,4.565,22.567,Poor
8.141,5.75,22.04,Poor
5.263,15.895,23.814,Very Poor
8.127,2.477,26.217,Good
7.47,5.587,25.172,Poor
7.961,8.038,27.334,Poor
9.893,14.563,30.743,Very Poor
8.114,3.823,29.961,Good
8.211,5.476,18.163,Poor
8.095,2.068,28.689,Good
8.085,1.572,26.759,Good
8.009,1.573,23.226,Good
8.11,3.255,26.532,Good
6.617,16.191,23.606,Very Poor
7.998,1.19,27.343,Good
7.923,0.745,27.744,Good
8.106,5.558,26.096,Poor
8.076,3.777,24.485,Good
8.114,2.773,27.121,Good
7.949,3.08,27.504,Good
6.834,6.082,28.825,Poor
6.871,5.223,31.477,Poor
8.1,4.723,25.944,Poor
11.189,20.254,31.482,Unsafe
8.1,4.149,26.051,Poor
8.013,4.438,27.384,Poor
8.143,3.739,26.582,Good
8.072,2.853,25.2,Good
6.793,17.381,27.149,Very Poor
7.982,4.025,27.264,Poor
8.084,3.486,29.356,Good
7.68,12.069,25.696,Very Poor
8.145,6.86,25.937,Poor
7.932,4.435,27.655,Poor
7.953,3.705,28.387,Good
8.059,1.824,26.337,Good
7.971,5.664,26.204,Poor
6.952,0.11,22.911,Excellent
8.104,6.439,29.226,Poor
8.157,2.232,17.31,Good
8.127,3.36,24.732,Good
8.024,3.191,24.372,Good
7.988,4.277,30.575,Poor
8.075,3.306,23.1,Good
8.093,2.415,21.392,Good
6.586,4.314,30.82,Poor
8.137,2.674,24.629,Good
7.066,6.047,19.367,Poor
8.161,2.618,17.189,Good
6.13,7.252,30.357,Poor
8.109,3.645,30.201,Good
8.194,3.247,19.451,Good
6.872,0.261,22.929,Excellent
7.971,4.427,27.086,Poor
8.114,3.994,24.973,Good
8.096,1.812,25.384,Good
7.982,3.469,27.631,Good
7.957,3.442,27.76,Good
8.092,1.917,20.541,Good
7.314,15.812,23.383,Very Poor
8.108,2.131,20.673,Good
8.178,2.459,18.472,Good
8.148,2.895,27.209,Good
8.017,1.382,27.842,Good
8.059,2.095,29.399,Good
7.946,3.501,27.753,Good
8.791,9.987,28.975,Poor
7.947,3.765,28.585,Good
8.133,2.45,17.653,Good
7.317,7.428,29.536,Poor
8.11,4.331,29.047,Poor
8.136,3.579,26.288,Good
8.405,6.293,24.911,Poor
8.092,2.519,21.03,Good
8.093,2.729,20.99,Good
7.935,7.937,28.112,Poor
8.089,2.753,24.648,Good
8.105,3.84,23.383,Good
7.906,5.729,24.096,Poor
8.057,4.572,27.171,Poor
8.054,2.326,23.102,Good
9.202,13.627,31.821,Very Poor
8.157,3.569,25.252,Good
8.203,2.73,20.762,Good
7.388,0.422,21.172,Excellent
7.064,0.081,23.371,Excellent
7.152,0.505,20.347,Excellent
8.078,2.074,27.328,Good
8.159,2.37,27.29,Good
8.186,2.537,17.968,Good
8.172,1.989,19.372,Good
4.408,34.394,28.941,Unsafe
7.972,1.117,27.924,Good
8.149,2.859,17.184,Good
8.196,3.612,26.58,Good
8.051,4.165,31.557,Poor
8.17,1.728,20.292,Good
7.956,3.487,27.974,Good
6.75,14.627,27.977,Very Poor
7.975,3.58,27.194,Good
8.205,2.72,18.211,Good
5.718,19.491,17.296,Very Poor
8.148,2.89,26.575,Good
8.137,2.756,24.144,Good
8.145,2.701,25.378,Good
8.065,1.583,26.884,Good
8.062,7.878,27.937,Poor
7.109,0.724,18.599,Good
8.006,1.609,23.003,Good
8.022,5.0,22.423,Poor
7.343,0.866,22.844,Excellent
8.004,1.522,27.427,Good
7.981,3.432,30.538,Good
8.134,3.685,24.295,Good
8.191,3.414,20.679,Good
8.142,2.671,27.27,Good
7.961,2.741,25.004,Good
8.447,0.629,26.507,Good
8.02,3.352,29.194,Good
8.12,2.432,29.634,Good
7.976,0.989,27.163,Good
6.162,16.822,24.382,Very Poor
8.046,2.108,29.003,Good
8.097,4.663,22.562,Poor
8.048,1.922,22.427,Good
8.034,1.809,22.709,Good
8.156,8.859,21.244,Poor
8.184,2.8,17.998,Good
7.561,11.271,16.305,Very Poor
8.078,2.088,28.307,Good
8.156,2.763,25.348,Good
8.135,3.238,28.86,Good
8.287,0.992,25.069,Good
8.098,3.11,26.375,Good
6.694,5.435,27.939,Poor
8.095,3.322,24.583,Good
6.67,4.582,27.909,Poor
9.292,13.784,23.131,Very Poor
7.046,9.299,30.351,Poor
8.09,2.617,20.012,Good
9.548,12.695,27.646,Very Poor
8.114,2.307,17.451,Good
8.136,5.958,25.619,Poor
8.104,4.819,25.194,Poor
7.954,5.29,25.304,Poor
8.057,2.049,21.66,Good
10.878,39.302,35.645,Unsafe
8.101,2.441,26.681,Good
8.049,3.499,29.427,Good
7.267,0.756,23.867,Excellent
7.896,2.827,20.07,Good
7.893,5.444,19.561,Poor
8.114,9.314,19.879,Poor
7.987,3.932,26.279,Good
8.139,3.936,27.774,Good
7.931,0.719,25.106,Good
2.763,59.839,23.45,Unsafe
8.161,4.204,25.233,Poor
6.825,0.18,21.121,Excellent
7.943,3.342,27.076,Good
7.945,5.082,26.987,Poor
8.049,2.328,24.233,Good
7.979,1.902,26.572,Good
8.189,6.652,21.567,Poor
7.092,0.691,28.294,Good
6.993,0.803,21.659,Excellent
8.177,4.201,26.316,Poor
8.118,2.887,21.721,Good
8.141,6.872,19.884,Poor
8.128,7.429,21.289,Poor
7.944,3.428,27.31,Good
8.308,6.225,21.32,Poor
8.132,3.949,25.281,Good
8.197,2.62,18.078,Good
8.135,7.863,21.114,Poor
7.907,1.123,27.03,Good
7.957,1.902,27.432,Good
8.174,3.428,21.397,Good
8.16,7.333,26.41,Poor
8.098,5.633,28.685,Poor
8.033,3.424,29.176,Good
8.127,3.455,18.27,Good
8.201,5.175,18.259,Poor
7.989,1.584,26.932,Good
8.161,6.611,19.631,Poor
8.192,3.77,18.994,Good
8.14,3.127,26.209,Good
7.98,3.292,26.331,Good
8.2,4.711,17.353,Poor
9.055,9.251,22.897,Poor
7.119,1.425,19.031,Good
8.451,8.894,26.452,Poor
8.148,3.027,27.159,Good
8.096,2.0,21.271,Good
9.586,14.662,24.057,Very Poor
12.504,36.149,26.169,Unsafe
8.097,2.859,25.329,Good
8.09,5.425,28.674,Poor
8.153,2.585,18.744,Good
8.183,2.63,17.781,Good
8.175,3.638,27.586,Good
8.127,4.02,30.295,Poor
6.589,10.134,31.701,Very Poor
8.139,1.866,20.262,Good
7.355,3.613,27.337,Good
7.953,3.264,27.519,Good
8.142,3.2,24.32,Good
7.987,4.411,28.153,Poor
6.832,0.606,22.995,Excellent
7.348,3.844,28.319,Good
7.454,1.562,21.87,Good
8.139,2.926,25.08,Good
8.152,4.922,20.406,Poor
7.251,1.826,18.26,Good
8.156,3.757,27.485,Good
8.204,3.077,18.508,Good
8.008,3.576,29.29,Good
7.194,12.07,33.617,Very Poor
8.055,1.7,26.827,Good
8.012,0.967,20.804,Good
7.048,6.554,19.808,Poor
6.403,7.085,26.698,Poor
8.097,4.086,23.336,Poor
8.149,3.335,28.404,Good
8.067,3.926,22.003,Good
8.141,3.533,25.495,Good
8.015,3.56,28.707,Good
8.722,17.442,18.076,Very Poor
8.014,4.008,25.832,Poor
8.149,3.321,20.542,Good
6.603,9.407,24.947,Poor
8.084,3.131,25.997,Good
8.042,1.923,21.606,Good
11.774,21.033,34.911,Unsafe
7.93,3.977,26.266,Good
8.124,3.648,24.71,Good
7.945,3.234,27.013,Good
6.795,8.688,28.953,Poor
9.1,19.674,20.377,Very Poor
4.493,22.565,31.074,Unsafe
8.013,1.827,26.994,Good
7.945,3.826,28.056,Good
8.101,3.161,25.8,Good
7.203,2.502,19.188,Good
8.049,2.999,22.636,Good
8.098,2.426,20.068,Good
7.951,3.505,26.549,Good
8.158,5.82,20.803,Poor
8.17,3.477,19.856,Good
7.96,3.515,27.22,Good
11.753,21.593,24.947,Unsafe
7.911,2.986,26.434,Good
3.576,51.532,15.052,Unsafe
7.132,0.913,21.136,Excellent
7.962,0.969,26.566,Good
8.043,5.075,21.331,Poor
8.043,3.652,22.297,Good
8.491,7.806,26.47,Poor
6.176,5.161,22.547,Poor
7.467,4.463,24.66,Poor
7.171,3.702,23.845,Good
9.033,5.775,25.536,Poor
8.21,2.77,17.007,Good
7.524,12.995,30.262,Very Poor
7.988,6.463,27.942,Poor
7.756,3.425,22.456,Good
8.081,2.435,25.556,Good
4.246,48.622,27.488,Unsafe
8.108,2.56,20.452,Good
8.132,2.923,24.654,Good
8.032,3.893,27.49,Good
7.06,0.499,21.263,Excellent
8.099,1.871,21.689,Good
8.172,3.503,17.228,Good
7.931,4.172,26.353,Poor
8.194,3.14,17.648,Good
8.34,2.575,24.267,Good
8.031,2.228,25.407,Good
